id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4786,25,Dec 16-31 2021 Network Fees,Software Habit Inc. (596),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,596-10,767.47,Senior UX/UI Designer
4785,25,Dec 16-31 2021 Network Fees,Booster Fuels (160),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b8/a7/b8a7adf2d4d8566bf33499f134f2b7a9.png,160-6,165.0,"""Product Manager, Fleet"""
4784,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-54,390.0,Senior Product Designer
4783,25,Dec 16-31 2021 Network Fees,Snowcrash (605),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/0f/5e/0f5e4a15d70bab422182ce9a2f2ad133.png,605-8,121.5,"""DevOps Engineer, SRE / Infrastructure"""
4782,25,Dec 16-31 2021 Network Fees,ForeVR Games (524),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,524-12,878.6,Unity Engineer
4781,25,Dec 16-31 2021 Network Fees,Startups.com (371),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/0f/46/0f46bb261a5e75f86557d0c38fa957ca.png,371-12,960.0,"""Full-Stack Product Engineer: React/Node.js, Remote"""
4780,25,Dec 16-31 2021 Network Fees,BASF (183),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b7/46/b74643ed0e8e20ec3d47250ac0d624a8.png,183-2,1320.0,Global Project Manager
4779,25,Dec 16-31 2021 Network Fees,Nortal Information Technology Solutions LLC (335),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/07/71/0771ae39fd258e96e9840bb9c2538b82.png,335-50,500.0,Product Manager (Fintech)
4778,25,Dec 16-31 2021 Network Fees,Nortal Information Technology Solutions LLC (335),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/07/71/0771ae39fd258e96e9840bb9c2538b82.png,335-49,500.0,Product Manager (Fintech)
4777,25,Dec 16-31 2021 Network Fees,Nortal Information Technology Solutions LLC (335),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/07/71/0771ae39fd258e96e9840bb9c2538b82.png,335-48,500.0,Product Manager (Fintech)
4776,25,Dec 16-31 2021 Network Fees,Fabric (214),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/0d/e6/0de689d72125d61ae5f3c84be22d2a3b.png,214-106,272.0,Technical Writer
4775,25,Dec 16-31 2021 Network Fees,ForeVR Games (524),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,524-11,1721.4,Unity Engineer
4774,25,Dec 16-31 2021 Network Fees,Sifchain (187),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/c3/61/c361cc8e90ae3b56b30eb8242dfdd646.png,187-204,600.0,Research Engineer / Cryptoeconomist
4773,25,Dec 16-31 2021 Network Fees,McKinsey & Company (541),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/eb/7f/eb7f1c36bfed99d95ba32795ca57ce0e.png,541-66,360.0,Service Designer
4772,25,Dec 16-31 2021 Network Fees,Etsy (409),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ad/df/addfb6cc6101842f35b3f3867633773d.png,409-16,440.0,"""Senior Product Designer, Buyer Onboarding (W2 or Contract) | Etsy"""
4771,25,Dec 16-31 2021 Network Fees,"Keller Williams Realty, Inc. (199)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/95/80/958060ba71b5b4fa3a19f38d10c53317.png,199-20,144.0,UX Designer (KW Product Team) - 6 month Contract to Hire
4770,25,Dec 16-31 2021 Network Fees,Wayfair - ISC (328),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d0/63/d063fd0b1aae5424f6d4f99903366373.png,328-24,501.5,Full Stack Data Scientist on DS Catalog
